loan_id,loan_key,cst_id,loan_type,loan_amount,interest_rate,loan_status,branch_code,loan_start_dt,loan_end_dt
4001,LMS-L-4001,1001,Home Loan,2000000,9.5,Active,BR-DHK-01,20240101,20340101
4002,LMS-L-4002,1003,Personal Loan,500000,12.0,Active,BR-CTG-01,20240115,20270115
4003,LMS-L-4003,1005,home loan,1500000,9.5,Closed,BR-SYL-01,20230101,20240101
4004,LMS-L-4004,1007,Car Loan,800000,11.0,Active,BR-DHK-02,20240201,20290201
4005,LMS-L-4005,1009,Personal Loan,300000,12.5,Defaulted,BR-SYL-01,20230601,20260601
4006,LMS-L-4006,1002,SME Loan,5000000,10.0,Active,BR-DHK-02,20240301,20290301
4007,LMS-L-4007,1004,CAR LOAN,600000,11.0,Active,BR-CTG-01,20240315,20290315
4008,LMS-L-4008,1006,Home Loan,3000000,9.0,Active,BR-DHK-01,20240401,20440401
4009,LMS-L-4009,1008,Personal loan,400000,13.0,Defaulted,NULL,20230901,20260901
4010,LMS-L-4010,1010,SME Loan,2500000,10.5,Active,BR-CTG-01,20240501,20290501
