acc_id,acc_key,cst_id,acc_type,acc_status,acc_balance,branch_code,acc_open_date
2001,ACC-2001,1001,Savings,Active,150000,BR-DHK-01,2023-01-10
2002,ACC-2002,1002,Current,Active,320000,BR-DHK-02,2023-01-15
2003,ACC-2003,1003,savings,Active,75000,BR-CTG-01,2023-02-01
2004,ACC-2004,1004,Savings,Inactive,12000,BR-CTG-01,2023-02-14
2005,ACC-2005,1005,Fixed Deposit,Active,500000,BR-SYL-01,2023-03-05
2006,ACC-2006,1006,SAVINGS,Active,98000,BR-DHK-01,2023-03-20
2007,ACC-2007,1007,Current,Active,210000,BR-DHK-02,2023-04-11
2008,ACC-2008,1008,Savings,Active,43000,NULL,2023-04-25
2009,ACC-2009,1009,Fixed Deposit,Active,750000,BR-SYL-01,2023-05-08
2010,ACC-2010,1010,current,Inactive,5000,BR-CTG-01,2023-05-22
